term,term_adapted,term_context,Sociability,Morality,Assertiveness,Ability,Beliefs,Status,Health,Emotions,Geography,Occupation,Appearance,Beauty,Family,Deviance,SocialGroups,Gender,Race,Age,Sexual.Orientation,Valence,Valence_dir,Sociability_dir,Morality_dir,Assertiveness_dir,Ability_dir,Beliefs_dir,Status_dir,Health_dir,Geography_dir,Occupation_dir,Beauty_dir,Deviance_dir,Activation_dir,Emotionalvalence_dir,Age.youngtoold_dir,SexOr.LGBtostr8_dir,Gender.femtomasc_dir,Gender.nonbinary&trans,Sum,Sentence,Sentence_bold,Sentence_qualtrics,Sentence_bold_qualtrics,Sentence_bold_qualtrics2
young,young,A person who is young,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,2,If a person is young they are also likely to be:,If a person is <b>young</b> they are also likely to be:,"""If a person is young they are also likely to be:"",","""If a person is <b>young</b> they are also likely to be:"",","""If a person is <b>young</b> they are also likely to:"","
youthful,youthful,A person who is youthful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,2,If a person is youthful they are also likely to be:,If a person is <b>youthful</b> they are also likely to be:,"""If a person is youthful they are also likely to be:"",","""If a person is <b>youthful</b> they are also likely to be:"",","""If a person is <b>youthful</b> they are also likely to:"","
junior,a junior,A person who is a junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,2,If a person is a junior they are also likely to be:,If a person is <b>a junior</b> they are also likely to be:,"""If a person is a junior they are also likely to be:"",","""If a person is <b>a junior</b> they are also likely to be:"",","""If a person is <b>a junior</b> they are also likely to:"","
younger,younger,A person who is younger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,2,If a person is younger they are also likely to be:,If a person is <b>younger</b> they are also likely to be:,"""If a person is younger they are also likely to be:"",","""If a person is <b>younger</b> they are also likely to be:"",","""If a person is <b>younger</b> they are also likely to:"","
old,old,A person who is old,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,If a person is old they are also likely to be:,If a person is <b>old</b> they are also likely to be:,"""If a person is old they are also likely to be:"",","""If a person is <b>old</b> they are also likely to be:"",","""If a person is <b>old</b> they are also likely to:"","
elderly,elderly,A person who is elderly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,If a person is elderly they are also likely to be:,If a person is <b>elderly</b> they are also likely to be:,"""If a person is elderly they are also likely to be:"",","""If a person is <b>elderly</b> they are also likely to be:"",","""If a person is <b>elderly</b> they are also likely to:"","
senior,a senior,A person who is a senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,If a person is a senior they are also likely to be:,If a person is <b>a senior</b> they are also likely to be:,"""If a person is a senior they are also likely to be:"",","""If a person is <b>a senior</b> they are also likely to be:"",","""If a person is <b>a senior</b> they are also likely to:"","
older,older,A person who is older,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,If a person is older they are also likely to be:,If a person is <b>older</b> they are also likely to be:,"""If a person is older they are also likely to be:"",","""If a person is <b>older</b> they are also likely to be:"",","""If a person is <b>older</b> they are also likely to:"","
child,a child,A person who is a child,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,If a person is a child they are also likely to be:,If a person is <b>a child</b> they are also likely to be:,"""If a person is a child they are also likely to be:"",","""If a person is <b>a child</b> they are also likely to be:"",","""If a person is <b>a child</b> they are also likely to:"","
teenager,a teenager,A person who is a teenager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,If a person is a teenager they are also likely to be:,If a person is <b>a teenager</b> they are also likely to be:,"""If a person is a teenager they are also likely to be:"",","""If a person is <b>a teenager</b> they are also likely to be:"",","""If a person is <b>a teenager</b> they are also likely to:"","
adult,an adult,A person who is an adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,If a person is an adult they are also likely to be:,If a person is <b>an adult</b> they are also likely to be:,"""If a person is an adult they are also likely to be:"",","""If a person is <b>an adult</b> they are also likely to be:"",","""If a person is <b>an adult</b> they are also likely to:"","
gay,gay,A person who is gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is gay they are also likely to be:,If a person is <b>gay</b> they are also likely to be:,"""If a person is gay they are also likely to be:"",","""If a person is <b>gay</b> they are also likely to be:"",","""If a person is <b>gay</b> they are also likely to:"","
lesbian,a lesbian,A person who is a lesbian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is a lesbian they are also likely to be:,If a person is <b>a lesbian</b> they are also likely to be:,"""If a person is a lesbian they are also likely to be:"",","""If a person is <b>a lesbian</b> they are also likely to be:"",","""If a person is <b>a lesbian</b> they are also likely to:"","
bisexual,bisexual,A person who is bisexual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,2,If a person is bisexual they are also likely to be:,If a person is <b>bisexual</b> they are also likely to be:,"""If a person is bisexual they are also likely to be:"",","""If a person is <b>bisexual</b> they are also likely to be:"",","""If a person is <b>bisexual</b> they are also likely to:"","
